A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,session_name,neuron_type
1Pre,3Post,0.65,-0.98,1.63,0.04,39.59,0.0,2.29,1031,-1.63,0.0,True,hamilton_04,FF
1Pre,3Post,-0.37,-0.12,-0.25,0.05,-4.64,0.0,-0.27,1032,0.25,0.0,True,hamilton_04,SR
1Pre,3Post,0.53,-0.66,1.19,0.05,23.74,0.0,1.37,1034,-1.19,0.0,True,hamilton_04,SR
1Pre,3Post,0.34,-0.12,0.45,0.06,8.09,0.0,0.47,1035,-0.45,0.0,True,hamilton_04,SR
1Pre,3Post,0.37,-0.1,0.47,0.06,8.5,0.0,0.49,1036,-0.47,0.0,True,hamilton_04,SIR
1Pre,3Post,0.4,-0.37,0.77,0.05,13.98,0.0,0.81,1037,-0.77,0.0,True,hamilton_04,SIR
1Pre,3Post,0.3,-0.11,0.41,0.06,7.35,0.0,0.42,1038,-0.41,0.0,True,hamilton_04,SR
1Pre,3Post,0.11,-0.16,0.27,0.06,4.7,0.0,0.27,1040,-0.27,0.0,True,hamilton_04,SIR
1Pre,3Post,0.14,-0.21,0.35,0.06,6.14,0.0,0.35,1041,-0.35,0.0,True,hamilton_04,SIR
1Pre,3Post,0.7,-0.84,1.54,0.04,34.62,0.0,2.0,1044,-1.54,0.0,True,hamilton_04,SIR
1Pre,3Post,0.36,-0.08,0.44,0.06,7.94,0.0,0.46,1045,-0.44,0.0,True,hamilton_04,SIR
1Pre,3Post,0.43,-0.76,1.19,0.05,24.43,0.0,1.41,1046,-1.19,0.0,True,hamilton_04,SR
1Pre,3Post,0.44,-0.15,0.59,0.05,10.72,0.0,0.62,1047,-0.59,0.0,True,hamilton_04,SR
1Pre,3Post,0.25,-0.12,0.37,0.06,6.55,0.0,0.38,1048,-0.37,0.0,True,hamilton_04,SIR
1Pre,3Post,0.57,-0.67,1.24,0.05,24.92,0.0,1.44,1049,-1.24,0.0,True,hamilton_04,SR
1Pre,3Post,0.52,-0.41,0.94,0.05,17.61,0.0,1.02,1050,-0.94,0.0,True,hamilton_04,SR
1Pre,3Post,-0.17,0.33,-0.5,0.06,-8.86,0.0,-0.51,1051,0.5,0.0,True,hamilton_09,FF
1Pre,3Post,-0.14,-0.45,0.31,0.05,6.06,0.0,0.35,1052,-0.31,0.0,True,hamilton_09,SR
1Pre,3Post,-0.35,-0.34,-0.02,0.05,-0.32,0.94,-0.02,1053,0.02,0.97,False,hamilton_09,FF
1Pre,3Post,-0.14,-0.44,0.3,0.05,5.68,0.0,0.33,1054,-0.3,0.0,True,hamilton_09,FF
1Pre,3Post,-0.21,-0.25,0.04,0.05,0.65,0.79,0.04,1055,-0.04,0.83,False,hamilton_09,FF
1Pre,3Post,-0.03,0.2,-0.23,0.06,-4.08,0.0,-0.24,1056,0.23,0.0,True,hamilton_09,SIR
1Pre,3Post,0.11,-0.72,0.83,0.05,17.15,0.0,0.99,1057,-0.83,0.0,True,hamilton_09,FF
1Pre,3Post,0.26,0.56,-0.3,0.05,-6.46,0.0,-0.37,1058,0.3,0.0,True,hamilton_09,SR
1Pre,3Post,-0.09,-0.5,0.41,0.05,7.84,0.0,0.45,1059,-0.41,0.0,True,hamilton_09,SR
1Pre,3Post,-0.5,0.39,-0.88,0.05,-16.48,0.0,-0.95,1060,0.88,0.0,True,hamilton_09,SR
1Pre,3Post,-0.14,-0.59,0.45,0.05,9.32,0.0,0.54,1061,-0.45,0.0,True,hamilton_09,SR
1Pre,3Post,-0.15,0.47,-0.62,0.05,-11.35,0.0,-0.66,1062,0.62,0.0,True,hamilton_09,SIR
1Pre,3Post,-0.15,0.28,-0.43,0.06,-7.58,0.0,-0.44,1064,0.43,0.0,True,hamilton_09,FF
1Pre,3Post,0.39,-0.16,0.55,0.06,9.88,0.0,0.57,1065,-0.55,0.0,True,hamilton_09,SR
1Pre,3Post,-0.27,0.06,-0.32,0.06,-5.68,0.0,-0.33,1068,0.32,0.0,True,hamilton_09,FF
1Pre,3Post,0.0,-0.18,0.18,0.06,3.18,0.0,0.18,1613,-0.18,0.01,True,hamilton_31,SIR
1Pre,3Post,-0.14,-0.29,0.15,0.05,2.75,0.02,0.16,1614,-0.15,0.02,True,hamilton_31,SIR
1Pre,3Post,-0.01,-0.38,0.37,0.05,6.79,0.0,0.39,1615,-0.37,0.0,True,hamilton_31,SIR
1Pre,3Post,-0.12,-0.34,0.22,0.05,4.11,0.0,0.24,1616,-0.22,0.0,True,hamilton_31,SIR
1Pre,3Post,-0.0,-0.18,0.18,0.06,3.12,0.01,0.18,1617,-0.18,0.01,True,hamilton_31,SIR
1Pre,3Post,-0.24,-0.44,0.2,0.05,3.99,0.0,0.23,1619,-0.2,0.0,True,hamilton_31,SIR
1Pre,3Post,0.57,0.05,0.52,0.05,10.22,0.0,0.59,1620,-0.52,0.0,True,hamilton_31,SR
1Pre,3Post,0.13,-0.2,0.33,0.06,5.81,0.0,0.34,1621,-0.33,0.0,True,hamilton_31,SIR
1Pre,3Post,-0.31,-0.3,-0.01,0.05,-0.29,0.96,-0.02,1622,0.01,0.98,False,hamilton_31,SIR
1Pre,3Post,-0.34,0.06,-0.39,0.06,-7.04,0.0,-0.41,1623,0.39,0.0,True,hamilton_31,SIR
1Pre,3Post,-0.29,-0.16,-0.12,0.05,-2.24,0.07,-0.13,1625,0.12,0.07,False,hamilton_31,SIR
1Pre,3Post,-0.25,-0.55,0.3,0.05,6.47,0.0,0.37,1626,-0.3,0.0,True,hamilton_31,SIR
1Pre,3Post,0.05,-0.38,0.43,0.06,7.78,0.0,0.45,1632,-0.43,0.0,True,hamilton_31,SIR
1Pre,3Post,-0.16,-0.19,0.03,0.06,0.62,0.81,0.04,1636,-0.03,0.84,False,hamilton_31,SIR
1Pre,3Post,-0.38,-0.57,0.19,0.04,4.47,0.0,0.26,1638,-0.19,0.0,True,hamilton_31,SIR
1Pre,3Post,0.32,-0.14,0.46,0.06,8.14,0.0,0.47,1639,-0.46,0.0,True,hamilton_31,SIR
1Pre,3Post,0.26,0.06,0.2,0.06,3.55,0.0,0.2,1640,-0.2,0.0,True,hamilton_31,FF
1Pre,3Post,-0.25,-0.49,0.24,0.05,4.92,0.0,0.28,1641,-0.24,0.0,True,hamilton_31,SIR
1Pre,3Post,0.25,-0.32,0.57,0.06,10.13,0.0,0.58,1642,-0.57,0.0,True,hamilton_31,SIR
1Pre,3Post,-0.11,-0.42,0.31,0.05,5.8,0.0,0.33,1644,-0.31,0.0,True,hamilton_31,SIR
1Pre,3Post,0.2,-0.56,0.76,0.05,14.36,0.0,0.83,1645,-0.76,0.0,True,hamilton_31,SIR
1Pre,3Post,-0.35,-0.5,0.15,0.05,3.29,0.0,0.19,1647,-0.15,0.0,True,hamilton_31,SR
1Pre,3Post,0.03,0.13,-0.11,0.06,-1.85,0.15,-0.11,1648,0.11,0.17,False,hamilton_31,SIR
1Pre,3Post,0.46,-0.41,0.88,0.05,16.29,0.0,0.94,1649,-0.88,0.0,True,hamilton_31,SIR
1Pre,3Post,-0.0,-0.45,0.45,0.05,8.37,0.0,0.48,1650,-0.45,0.0,True,hamilton_31,SIR
1Pre,3Post,0.21,0.3,-0.09,0.05,-1.6,0.25,-0.09,1651,0.09,0.27,False,hamilton_31,SR
1Pre,3Post,-0.26,-0.51,0.24,0.05,5.07,0.0,0.29,1655,-0.24,0.0,True,hamilton_31,SIR
1Pre,3Post,0.51,-0.68,1.18,0.05,23.54,0.0,1.36,1657,-1.18,0.0,True,hamilton_31,SR
1Pre,3Post,0.39,-0.55,0.94,0.05,17.76,0.0,1.03,1658,-0.94,0.0,True,hamilton_31,SR
1Pre,3Post,-0.31,-0.33,0.01,0.05,0.23,0.97,0.01,1659,-0.01,0.99,False,hamilton_31,SIR
1Pre,3Post,0.69,0.33,0.36,0.04,9.27,0.0,0.53,1660,-0.36,0.0,True,hamilton_31,FF
1Pre,3Post,0.11,0.22,-0.11,0.06,-2.0,0.11,-0.12,1661,0.11,0.13,False,hamilton_31,SR
1Pre,3Post,-0.5,-0.57,0.06,0.04,1.7,0.21,0.1,1663,-0.06,0.23,False,hamilton_31,SIR
1Pre,3Post,-0.15,-0.03,-0.13,0.06,-2.23,0.07,-0.13,1664,0.13,0.08,False,hamilton_31,SIR
1Pre,3Post,0.52,-0.26,0.77,0.05,14.34,0.0,0.83,1666,-0.77,0.0,True,hamilton_31,SR
1Pre,3Post,-0.16,-0.27,0.11,0.05,2.05,0.1,0.12,1667,-0.11,0.11,False,hamilton_31,SIR
1Pre,3Post,0.73,-0.35,1.08,0.05,21.74,0.0,1.25,1668,-1.08,0.0,True,hamilton_31,SR
1Pre,3Post,0.27,-0.54,0.81,0.05,15.12,0.0,0.87,1669,-0.81,0.0,True,hamilton_31,SIR
1Pre,3Post,0.25,0.38,-0.13,0.05,-2.43,0.04,-0.14,1670,0.13,0.05,True,hamilton_31,SIR
1Pre,3Post,0.17,-0.51,0.67,0.05,12.52,0.0,0.72,1671,-0.67,0.0,True,hamilton_31,SIR
1Pre,3Post,0.54,-0.48,1.02,0.05,19.33,0.0,1.12,1675,-1.02,0.0,True,hamilton_31,SIR
1Pre,3Post,0.2,0.26,-0.06,0.05,-1.08,0.53,-0.06,1676,0.06,0.56,False,hamilton_31,SIR
1Pre,3Post,-0.27,0.35,-0.62,0.06,-11.09,0.0,-0.64,1678,0.62,0.0,True,hamilton_31,SIR
1Pre,3Post,0.26,-0.4,0.66,0.06,11.9,0.0,0.69,1679,-0.66,0.0,True,hamilton_31,SIR
1Pre,3Post,0.47,-0.86,1.32,0.05,28.76,0.0,1.66,1680,-1.32,0.0,True,hamilton_31,SR
1Pre,3Post,0.33,-0.08,0.41,0.06,7.25,0.0,0.42,1681,-0.41,0.0,True,hamilton_31,SIR
1Pre,3Post,0.6,-0.57,1.17,0.05,22.96,0.0,1.33,1682,-1.17,0.0,True,hamilton_31,SR
1Pre,3Post,0.01,-0.36,0.37,0.06,6.67,0.0,0.38,1683,-0.37,0.0,True,hamilton_31,SIR
1Pre,3Post,-0.3,-0.34,0.04,0.05,0.77,0.72,0.04,1684,-0.04,0.76,False,hamilton_31,SIR
1Pre,3Post,0.08,-0.57,0.65,0.05,12.45,0.0,0.72,1685,-0.65,0.0,True,hamilton_31,SIR
1Pre,3Post,0.32,-0.73,1.05,0.05,21.33,0.0,1.23,1686,-1.05,0.0,True,hamilton_31,SIR
1Pre,3Post,0.25,0.04,0.21,0.06,3.76,0.0,0.22,1687,-0.21,0.0,True,hamilton_31,SIR
1Pre,3Post,1.21,-0.78,1.99,0.03,68.68,0.0,3.96,1690,-1.99,0.0,True,hamilton_38,FF
1Pre,3Post,0.99,-0.51,1.5,0.04,36.23,0.0,2.09,1691,-1.5,0.0,True,hamilton_38,SIR
1Pre,3Post,0.83,-0.29,1.12,0.05,24.09,0.0,1.39,1693,-1.12,0.0,True,hamilton_38,FF
1Pre,3Post,0.02,-0.55,0.57,0.05,10.88,0.0,0.63,1695,-0.57,0.0,True,hamilton_38,SIR
1Pre,3Post,0.61,-0.73,1.34,0.05,27.87,0.0,1.61,1697,-1.34,0.0,True,hamilton_38,SR
1Pre,3Post,1.04,-0.57,1.62,0.04,41.51,0.0,2.4,1698,-1.62,0.0,True,hamilton_38,SIR
1Pre,3Post,-0.95,0.04,-1.0,0.04,-26.64,0.0,-1.54,1700,1.0,0.0,True,hamilton_38,SIR
1Pre,3Post,-0.01,-0.25,0.24,0.06,4.28,0.0,0.25,1706,-0.24,0.0,True,hamilton_38,SIR
1Pre,3Post,-0.63,-0.43,-0.2,0.04,-5.16,0.0,-0.3,1708,0.2,0.0,True,hamilton_38,SR
1Pre,3Post,-0.3,-0.64,0.34,0.04,8.0,0.0,0.46,1709,-0.34,0.0,True,hamilton_38,SIR
1Pre,3Post,0.84,-0.62,1.46,0.05,31.96,0.0,1.84,1712,-1.46,0.0,True,hamilton_38,SIR
1Pre,3Post,0.86,-0.47,1.33,0.05,29.02,0.0,1.67,1713,-1.33,0.0,True,hamilton_38,SIR
1Pre,3Post,-0.72,0.81,-1.53,0.05,-33.95,0.0,-1.96,1715,1.53,0.0,True,hamilton_38,SR
1Pre,3Post,-0.61,-0.19,-0.43,0.05,-9.2,0.0,-0.53,1720,0.43,0.0,True,hamilton_38,SIR
1Pre,3Post,0.3,-0.19,0.49,0.06,8.63,0.0,0.5,1721,-0.49,0.0,True,hamilton_38,SIR
1Pre,3Post,-0.16,-0.68,0.52,0.04,11.5,0.0,0.66,1725,-0.52,0.0,True,hamilton_38,SIR
1Pre,3Post,1.13,-0.6,1.73,0.03,49.79,0.0,2.87,1726,-1.73,0.0,True,hamilton_38,SIR
1Pre,3Post,0.66,-0.52,1.18,0.05,23.35,0.0,1.35,1727,-1.18,0.0,True,hamilton_38,FF
1Pre,3Post,-0.4,0.17,-0.57,0.06,-10.19,0.0,-0.59,1728,0.57,0.0,True,hamilton_38,SIR
1Pre,3Post,-0.84,-0.41,-0.42,0.03,-16.68,0.0,-0.96,1732,0.42,0.0,True,hamilton_38,SIR
1Pre,3Post,0.85,-0.44,1.28,0.05,27.69,0.0,1.6,1733,-1.28,0.0,True,hamilton_38,SIR
1Pre,3Post,-0.64,-0.51,-0.13,0.03,-3.79,0.0,-0.22,1735,0.13,0.0,True,hamilton_38,SIR
1Pre,3Post,-0.71,-0.37,-0.34,0.04,-9.18,0.0,-0.53,1736,0.34,0.0,True,hamilton_38,SIR
1Pre,3Post,1.05,-0.61,1.67,0.04,43.37,0.0,2.5,1737,-1.67,0.0,True,hamilton_38,SIR
1Pre,3Post,0.99,-0.56,1.55,0.04,37.63,0.0,2.17,1739,-1.55,0.0,True,hamilton_38,SR
1Pre,3Post,-0.64,0.29,-0.94,0.05,-18.26,0.0,-1.05,1741,0.94,0.0,True,hamilton_38,SR
1Pre,3Post,-0.57,-0.47,-0.1,0.04,-2.66,0.02,-0.15,1743,0.1,0.03,True,hamilton_38,FF
1Pre,3Post,0.53,-0.34,0.86,0.05,16.12,0.0,0.93,1748,-0.86,0.0,True,hamilton_38,SIR
1Pre,3Post,0.2,-0.47,0.66,0.05,12.18,0.0,0.7,1749,-0.66,0.0,True,hamilton_38,SIR
1Pre,3Post,-0.6,0.3,-0.9,0.05,-17.24,0.0,-1.0,1751,0.9,0.0,True,hamilton_38,SIR
1Pre,3Post,0.91,-0.47,1.37,0.04,30.93,0.0,1.79,1752,-1.37,0.0,True,hamilton_38,SIR
1Pre,3Post,0.98,-0.54,1.52,0.04,36.77,0.0,2.12,1754,-1.52,0.0,True,hamilton_38,SIR
1Pre,3Post,1.07,-0.61,1.68,0.04,44.56,0.0,2.57,1755,-1.68,0.0,True,hamilton_38,SR
1Pre,3Post,-0.08,-0.91,0.82,0.04,22.62,0.0,1.31,1760,-0.82,0.0,True,hamilton_37,SR
1Pre,3Post,0.32,0.45,-0.13,0.05,-2.75,0.02,-0.16,1767,0.13,0.02,True,hamilton_37,SR
1Pre,3Post,0.28,-0.83,1.11,0.05,24.05,0.0,1.39,1769,-1.11,0.0,True,hamilton_37,SR
1Pre,3Post,-0.43,0.7,-1.12,0.05,-22.43,0.0,-1.29,1772,1.12,0.0,True,hamilton_37,SIR
1Pre,3Post,0.04,-0.02,0.07,0.06,1.16,0.48,0.07,1774,-0.07,0.52,False,hamilton_37,SR
1Pre,3Post,-0.77,0.78,-1.55,0.04,-34.54,0.0,-1.99,1775,1.55,0.0,True,hamilton_37,SR
1Pre,3Post,-0.1,-0.58,0.49,0.05,9.85,0.0,0.57,1792,-0.49,0.0,True,hamilton_37,SR
1Pre,3Post,0.42,-0.2,0.62,0.06,11.22,0.0,0.65,1795,-0.62,0.0,True,hamilton_37,SR
1Pre,3Post,-0.18,-0.89,0.71,0.03,21.14,0.0,1.22,1800,-0.71,0.0,True,hamilton_37,SIR
1Pre,3Post,0.3,-0.56,0.85,0.05,16.05,0.0,0.93,1810,-0.85,0.0,True,hamilton_37,SIR
1Pre,3Post,0.19,-0.2,0.39,0.06,6.85,0.0,0.4,1811,-0.39,0.0,True,hamilton_37,SR
1Pre,3Post,0.05,-0.72,0.77,0.05,16.13,0.0,0.93,1812,-0.77,0.0,True,hamilton_37,SR
